potential	Cu_loading	FE(glycerol)	FE(n-proponal)	FE(ethanol)	FE(acetate)	FE(acetone)	FE(formate)	j(total)	ECSA	C_support	V_micro	V_meso	pore_area
-1	0.2	58.95348	0.8092	2.99785	3.53286	2.75771	8.03512	-2.85735	1288.3	micro	0.59	0.26	1511
-0.9	0.2	63.02599	0	1.74447	3.47984	2.10915	7.78428	-1.51741	1288.3	micro	0.59	0.26	1511
-0.8	0.2	60.0213	0	1.18207	4.48202	0	4.1405	-0.91597	1288.3	micro	0.59	0.26	1511
-0.7	0.2	61.00858	0	0.74646	2.69495	0	0	-0.57844	1288.3	micro	0.59	0.26	1511
-0.6	0.2	58.48887	0	0.63929	2.48488	0	0	-0.35026	1288.3	micro	0.59	0.26	1511
-0.5	0.2	51.02474	0	1.40101	2.1111	0	0	-0.1823	1288.3	micro	0.59	0.26	1511
-0.4	0.2	48.19017	0	0.55532	3.07764	0	0	-0.09028	1288.3	micro	0.59	0.26	1511
-0.3	0.2	43.19017	0	0	2.22307	0	0	-0.03896	1288.3	micro	0.59	0.26	1511
-1	0.4	58.90907	3.43147	4.39143	5.54327	2.701	10.95983	-3.78874	1826.7	micro	0.59	0.26	1511
-0.9	0.4	71.3032	2.63937	2.7326	6.26913	1.70043	9.29467	-2.20488	1826.7	micro	0.59	0.26	1511
-0.8	0.4	79.90277	2.64247	2.80303	3.9113	0	6.3856	-1.35608	1826.7	micro	0.59	0.26	1511
-0.7	0.4	90.29837	2.62373	1.20943	2.5177	0	0	-0.95746	1826.7	micro	0.59	0.26	1511
-0.6	0.4	89.86713	1.3416	0.35097	2.68247	0	0	-0.71713	1826.7	micro	0.59	0.26	1511
-0.5	0.4	78.49127	1.47783	1.2586	2.31907	0	0	-0.59998	1826.7	micro	0.59	0.26	1511
-0.4	0.4	64.43373	0.42823	1.41087	4.2555	0	0	-0.35034	1826.7	micro	0.59	0.26	1511
-0.3	0.4	40.8501	0	1.13173	3.59117	0	0	-0.26249	1826.7	micro	0.59	0.26	1511
-1	0.8	52.29622	3.5512	6.07881	5.93649	2.30375	18.69201	-5.58525	1975	micro	0.59	0.26	1511
-0.9	0.8	60.35554	3.27614	5.86685	4.93649	2.45267	15.23921	-3.4886	1975	micro	0.59	0.26	1511
-0.8	0.8	72.44322	2.68691	3.62538	3.93649	0	9.53867	-2.29468	1975	micro	0.59	0.26	1511
-0.7	0.8	80.52264	2.20946	2.99521	2.78341	0	4.02892	-1.47286	1975	micro	0.59	0.26	1511
-0.6	0.8	70.05808	1.87269	3.29252	4.52269	0	0	-0.97138	1975	micro	0.59	0.26	1511
-0.5	0.8	61.73686	1.35026	2.44806	3.36075	0	0	-0.67589	1975	micro	0.59	0.26	1511
-0.4	0.8	48.87995	0	1.49898	4.08102	0	0	-0.46721	1975	micro	0.59	0.26	1511
-0.3	0.8	27.39241	0	1.1073	4.54196	0	0	-0.24929	1975	micro	0.59	0.26	1511
-1	1.6	39.07484	4.22189	8.02725	7.91187	2.50656	20.00888	-8.69806	2121.7	micro	0.59	0.26	1511
-0.9	1.6	44.79062	4.40022	7.30623	7.75388	1.01823	18.28292	-6.22531	2121.7	micro	0.59	0.26	1511
-0.8	1.6	52.95093	3.81557	8.4722	6.51178	1.50656	13.69175	-3.94724	2121.7	micro	0.59	0.26	1511
